AAPL,MSFT,IBM,WAB,AMZN,V,UNH,NVDA,AMD,JPM,COP,MS,KO,META,NFLX,NKE,Date
244.9922637939453,414.6857604980469,259.7913818359375,191.14283752441406,222.8800048828125,348.603759765625,493.64129638671875,140.07948303222656,114.16999816894531,262.6185607910156,99.3895034790039,131.5503387451172,68.51065826416016,693.220703125,102.4540023803711,75.93914794921875,2025-02-20
244.71319580078125,406.793212890625,256.5923156738281,183.9398651123047,216.5800018310547,346.6543273925781,458.2702941894531,134.4007110595703,110.83999633789062,260.09869384765625,95.43341827392578,128.95535278320312,69.79204559326172,681.9570922851562,100.31500244140625,75.22135162353516,2025-02-21
246.25791931152344,402.59783935546875,256.97503662109375,181.3197021484375,212.7100067138672,347.9771423339844,453.4559020996094,130.2516326904297,108.11000061035156,257.2441101074219,96.2908935546875,127.27108001708984,69.04863739013672,666.572998046875,98.84700012207031,78.93816375732422,2025-02-24
246.1981201171875,396.5190124511719,252.9320526123047,181.36952209472656,212.8000030517578,350.1951599121094,462.1611022949219,126.60242462158203,103.95999908447266,253.36587524414062,94.59542846679688,126.90876770019531,69.92899322509766,655.9677734375,97.7239990234375,80.3541030883789,2025-02-25
239.5408935546875,398.3426818847656,251.05772399902344,182.3159637451172,214.35000610351562,348.7430114746094,455.4897155761719,131.2514190673828,104.73999786376953,254.73411560058594,93.66973876953125,128.3286590576172,69.25406646728516,672.1300048828125,99.00599670410156,79.81329345703125,2025-02-26
236.49131774902344,391.1676330566406,248.49652099609375,180.5127410888672,208.74000549316406,353.8255310058594,460.3728942871094,120.12384033203125,99.51000213623047,254.99002075195312,94.87800598144531,126.55624389648438,69.3225326538086,656.7059936523438,96.30699920654297,78.68251037597656,2025-02-27
241.01583862304688,395.6121520996094,247.72128295898438,184.66714477539062,212.27999877929688,360.75799560546875,466.6610412597656,124.89279174804688,99.86000061035156,260.5022277832031,96.6124496459961,130.3458709716797,69.65511322021484,666.642822265625,98.05599975585938,78.10237884521484,2025-02-28
237.21881103515625,387.14166259765625,245.5133514404297,180.9709930419922,205.02000427246094,359.872802734375,458.8892517089844,114.03515625,98.2300033569336,256.535400390625,90.25931549072266,126.44853973388672,70.7408676147461,653.5234985351562,97.37000274658203,77.48965454101562,2025-03-03
235.1259765625,387.26123046875,248.47691345214844,176.98594665527344,203.8000030517578,350.3344421386719,466.317138671875,115.96473693847656,100.75,246.32794189453125,88.32024383544922,119.19239807128906,68.65738677978516,638.508544921875,97.25800323486328,76.4124526977539,2025-03-04
234.93663024902344,399.628173828125,246.65167236328125,179.21759033203125,208.36000061035156,350.7819519042969,467.66326904296875,117.27445983886719,101.66999816894531,247.58787536621094,86.60527801513672,121.18024444580078,68.54978942871094,654.940185546875,99.09200286865234,76.89669799804688,2025-03-05
